name,local_name,author,category,tags,version,release_date,size_bytes,latest,integrity,duplicate,non_store,path,store
A* Pathfinding Project Pro,A Pathfinding Project Pro,Aron Granberg,Tools/Behavior AI,ai-pathfinding;editor-tool,5.4.6,,72344364,True,,,False,Tools/A Pathfinding Project Pro v5.4.6.unitypackage,https://assetstore.unity.com/packages/tools/behavior-ai/a-pathfinding-project-pro-87744
AAA Stylized Projectiles Vol.1,AAA Stylized Projectiles Vol1,Hovl Studio,VFX/Particles,stylized;vfx,3.0.0,,39909480,True,,,False,VFX/Particles/AAA Stylized Projectiles Vol1 v3.0.0.unitypackage,https://assetstore.unity.com/packages/vfx/particles/aaa-stylized-projectiles-vol-1-130378
Action RPG SFX Pack v2,AAR Action RPG SFX Pack,Audio Alchemy Room,Audio/Sound FX,medieval;sfx,1.1,2023-03-21,112677795,True,,,False,Audio/AAR Action RPG SFX Pack v1.1 (21 Mar 2023).unitypackage,https://assetstore.unity.com/packages/audio/sound-fx/action-rpg-sfx-pack-v2-221249
Abandoned Industrial Factory Environment,Abandoned Industrial Factory Environment,Leartes Studios,3D/Environments/Industrial,environment,,,1685074384,False,,,False,3D/Abandoned Industrial Factory Environment.unitypackage,https://assetstore.unity.com/packages/3d/environments/industrial/abandoned-industrial-factory-environment-262233
Abandoned Psychiatric Hospital,Abandoned Psychiatric Hospital,Art Equilibrium,3D/Environments/Urban,horror,,,6385201482,False,,,False,3D/Abandoned Psychiatric Hospital.unitypackage,https://assetstore.unity.com/packages/3d/environments/urban/abandoned-psychiatric-hospital-188270
Abilities | Game Creator 2,Abilities Game Creator 2,Daimahou Games,Tools/Game Toolkits,editor-tool,1.10.0,2025-01-22,15465000,True,,,False,Tools/Game Creator/Abilities Game Creator 2 v1.10.0 (22 Jan 2025).unitypackage,https://assetstore.unity.com/packages/tools/game-toolkits/abilities-game-creator-2-206589
Ability & Combat Toolkit,Ability Combat Toolkit,ABC Toolkit,Tools/Game Toolkits,editor-tool;template,2.3.2,,496882572,True,,,False,Tools/Ability Combat Toolkit v2.3.2.unitypackage,https://assetstore.unity.com/packages/tools/game-toolkits/ability-combat-toolkit-155168
Action RPG Characters,Action RPG Characters,Daniel Gooding,Audio/Sound FX/Voices,character;medieval,1.1,,2103146114,True,,,False,Action RPG Characters v1.1.unitypackage,https://assetstore.unity.com/packages/audio/sound-fx/voices/action-rpg-characters-3763
Admurin's Pixel Items,Admurins Pixel Items,Admurin,2D/GUI/Icons,,1.7,,23920486,True,,,False,2D/GUI/Admurins Pixel Items v1.7.unitypackage,https://assetstore.unity.com/packages/2d/gui/icons/admurin-s-pixel-items-194929
Advanced Building System,Advanced Building System,Szaya,Tools/Game Toolkits,template,1.3.2,2025-02-02,135040448,True,,,False,Advanced Building System v1.3.2 (02 Feb 2025).unitypackage,https://assetstore.unity.com/packages/tools/game-toolkits/advanced-building-system-283793
Advanced Cable Creator,Advanced Cable Creator,NOT_Lonely,Tools/Modeling,editor-tool,1.3,2024-12-17,20533207,True,,,False,Tools/Game Creator/Advanced Cable Creator v1.3 (17 Dec 2024).unitypackage,https://assetstore.unity.com/packages/tools/modeling/advanced-cable-creator-210228
Advanced Culling System 2 Revamped and Boosted Up,Advanced Culling System 2 Revamped and Boosted Up,,Tools,editor-tool;template,1.3.0,,12256945,True,,,False,Tools/Advanced Culling System 2 Revamped and Boosted Up v1.3.0.unitypackage,
Advanced Dissolve,Advanced Dissolve,,VFX,vfx,,,142925457,False,,,False,VFX/Shaders/Advanced Dissolve 2025.4.unitypackage,
Advanced FPS Counter,Advanced FPS Counter,Code Stage,Tools/Utilities,editor-tool,1.5.4,,582780,True,,,False,Tools/Advanced FPS Counter v1.5.4.unitypackage,https://assetstore.unity.com/packages/tools/utilities/advanced-fps-counter-14656
Advanced Multiplayer Game Template,Advanced Multiplayer Game Template,Redicion Studio,Templates/Systems,networking;template,1.07,,1003900349,True,,,False,Templates/Advanced Multiplayer Game Template v1.07.unitypackage,https://assetstore.unity.com/packages/templates/systems/advanced-multiplayer-game-template-241288
Advanced Scene Manager,Advanced Scene Manager,Lazy Solutions,Tools/Utilities,editor-tool,2.6.0,,1780231,True,,,False,Tools/Advanced Scene Manager v2.6.0.unitypackage,https://assetstore.unity.com/packages/tools/utilities/advanced-scene-manager-174152
